place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
Hallobank,"['Hallabank', 'Hallapank', 'Phallobank', 'Phallapank']",,,,,Cayuga Town north of Wyalusing
Hamilton,[],Hamilton,Ohio,,,
Hamilton's Mill,[],,Indiana,,,
Hamilton's Mills,[],,,,,
Hannastown,[],,Pennsylvania,,,
Harris' Ferry,"[""also Harrison's Ferry""]",,Pennsylvania,,,Harrisburg
Harrisburg,[],,Pennsylvania,,,
Harrison's Ferry,"['Harrisburg', 'Pennsylvania']",,Pennsylvania,,,Harrisburg | Harris Ferry
Harsen's Island,[],,Michigan,,,mouth of St. Clair River
Hartford,[],,Connecticut,,,
Havanna,['Awanna'],,,,,
Hebron,[],Lebanon County,Pennsylvania,,,
Heerandyk,[],,,,,Holland
Heidelberg,[],Berks County,Pennsylvania,,,
Heller's Tavern,[],,,,,
Helltown,[],,Ohio,,,Walhending River
Hernhag,[],,,Germany,,
Herrnbaag,[],,,Germany,,
Herrnhut,[],,,Germany,,
Hessen-Kassel,[],,,Germany,,
Hickory Tavern,[],,New Jersey,,,
High Lands,[],,New York,,,Orange and Putnam Cos.
Hockhooking Creek and Town,['Kockhocking'],,,,,
Hocking River,[],,,,,tribut. of Ohio River
Hokendaugua Creek,[],Northampton County,Pennsylvania,,,
Hokhokunk,['probably Hockhocking'],,,,,
Holland,[],,,,,
Holsbon River,[],,Tennessee,,,
Honeywint,[],,,,,
Hope,[],,New Jersey,,,
Hope,[],,North Carolina,,,
Hope,['Hoop'],,,Suriname,,
Hope's Cove,['South?'],,,,,Lake Erie & Lake Erie | anchoring place on Bass Island
Hopedale,[],,,,,Labrador
Horn River,['Eskenne'],,,,,
Horseshoe Fall,[],,Ontario,,,Niagara River
Housatonic River,[],,Connecticut,,,
Hudson,[],Summit County,Ohio,,,
Hudson,[],,,,,
Hudson Bay,[],,,,,
Hudson River,['North River'],,New York,,,
Humber River,[],,Ontario,,,
Hunt's Ferry,[],Wyoming County,Pennsylvania,,,Falls
Hurley,[],Ulster County,New York,,,
Huron Point,['Clinton'],,Michigan,,,mouth of Huron River
Huron River,['Petquotting River'],,,,,O
Huron River,['Petquotting'],Wayne County,Michigan,,,at Detroit River estuary & O & now Clinton River
Huron River,"['al', 'Petquotting']",,Ohio,,,
Huron River,['Clinton'],,Michigan,,,
Huron River Macomb County,['Clinton River'],,Michigan,,,
Huron Straits,['Straights'],,Ontario,,,near mouth of St. Clair River
Hutberg,[],,,Germany,,hill near Herrnhut
Illinois,[],,Illinois,,,
Illinois River,[],,,,,
Indiana Territory,[],,,,,
Industry,[],,Ohio,,,place on Mahony Creek
Irish settlement,[],,,,,probably Indiana
Irish settlement,[],Northampton County,Pennsylvania,,,Allen Township
Islington,[],,,,,England
Jack Creek,[],,Pennsylvania,,,possibly Youghidgheny River
Jackson's Tavern,[],,New York,,,place between Goshen and Kingston
Jacob's Heights,['Jacobshuh'],Northumberland County,Pennsylvania,,,Lower Augusta Township
Jahannis Ruh,[],,Pennsylvania,,,Carbon or Luzerne County
Jamaica,[],,,Jamaica,,West Indies
Jefferson County,[],Jefferson County,Ohio,,,
Jena,[],,,Germany,,
Jenky Hall,[],,,,,Detroit
Jequaminische,[],,,,,
Jerome's Town,[],Ashland County,,,,Ohio
Jersey,['The Jerseys'],,,Jersey,,
Johnson's Hall,[],,New York,,,north side of Mohawk River | place between Fort Hunter and Fort Plain
Johnson's Harbor,"['probably Kuckville', 'New York']",,,,,
Jongquakamik,[],,,,,
Jongquakamik Landing,[],,Ontario,,,
Jongquakamik River,['East Sydenham'],,Ontario,,,
Juniata Crossings,[],Bedford County,Pennsylvania,,,
Juniata River,[],,Pennsylvania,,,Tachochniato
K'takanstschau,[],Dutchess County,New York,,,the Big Mountain
Kaek ke la muk paechung,[],,,,,Town and Creek | Kekelamukpechung | Kekelamukpechen
Kajakistown,[],,Ontario,,,
Kanawha River,['Canhawa'],,West Virginia,,,
Kanawha River West Virginia,['Kashaway'],,,,,
Kaniseraga,[],Livingston County,New York,,,Ganaeraga Creek
Kantanienberg,[],,,,,
Kaschkaschkung,['Kaschkaschkunk'],,,,,
Kaschkaskung,[],,,,,
Kaskaskunk,[],,,,,
Kaskaskunk,"['Kaskaskung', 'Kaschkaskung', 'Kaschkaschkunk']",Lawrence County,Pennsylvania,,,Munsee Town on Beaver River
Kaskaskunk Lawrence County,"['Kaskaskung', 'Caskaskung', 'Coschcaskung on Beaver River']",,Pennsylvania,,,
Kaunaumeek,"['Kenumeck', 'Cenemek']",Columbia County,New York,,,Nassau Township
Kaunschannek,['Kawunschhannek'],,,,,
Ke-kek-ton long timber,['Mohawk'],,,,,
Kekelemukpechunk,[],,,,,
Kent,[],Litchfield County,Connecticut,,,
Kentucky,"['Kentuk', 'Kentuke']",,Kentucky,,,
Killbuck Creek,[],Holmes County,Ohio,,,
Kinderhook,[],Columbia County,New York,,,
King's Bridge,[],,,,,New YorkC | Harlem River
King's Island,['Grosse Ile'],,Michigan,,,
Kingston,"['Esopa', 'Sopus']",,Ontario,,,N.Y
Kingston New York,['Esopus'],,,,,
Kinhanschican,[],,,,,Mingo Town in Ohio
Kitanesink,[],,,,,
Kitigan,[],,Ontario,,,Chippewa town
Kitiganesink,['in the garden'],,,,,
Kittannuk,[],,Pennsylvania,,,Kittanning
Kittatinny,"['al', 'Middle Mountain', 'Kittetani']",Franklin County,Pennsylvania,,,
Kittatinny Hills,['Blue Mountains'],,Pennsylvania,,,
Koachachkunk,[],,,,,
Koenigsberg,[],Northumberland County,Pennsylvania,,,
Kondal,[],,Ohio,,,probably Tuscarawas County
Konigsfeld,[],,,Germany,,
Ktukquiminschi,['Black Walnut'],,Pennsylvania,,,Erie | town near Presqu'isle
Kui-lu-ta-men,['Delaware'],,,,,Place of surprise
Kuschkusching,[],,,,,
Labrador,[],,,,,Terra
Lac,['also Long Lake'],,New York,,,Poponming Pond Monroe County
Lackawanna River,[],,Pennsylvania,,,
Lahalawoaskute,[],,,,,Sipung Creek
Lake,['Poponoming'],,,,,
