place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type
Fulneck,['Fulnec'],,,,,England & England,
Gachnawage,[],,,,,,
Gachtochwawunk,[],,,,,,
Gallipolis,['Galliopolis'],,Ohio,,,Gallis County | O & Gallis County,
Galloway's Island,[],,Pennsylvania,,,Delaware River,
Ganatissege,[],,,,,,
Ganatocheracht,[],,,,,,
Ganawacu,[],,,,,,
Garochiati,[],,New York,,,Seneca town on Pemidhannek Creek,
Gawunschiechgunk,[],,,,,St. Marys River,
Geisterborg,['Demons Hill'],Union County,Pennsylvania,,,Otsinachson,
Gekelemukpechunk,['Gegelemukpechunk'],,Ohio,,,Newcomerstown | Kek ke la muk paechung | Kekaelemapaechunk | Kekelamukpechen | Kakelamukpechung,
Gekelemukpechunk Creek,[],,,,,Stillwater Creek,H
Gekelemukpechunk Delaware Center,"['Kekelemukpeachunk', 'Kikeelmukpechunk']",,Ohio,,,Newcomerstown,
Genesee,[],,New York,,,,
Genesee River,"['Chennessee', 'Tscheneshee']",,New York,,,,H
Geneseo,[],,,,,,
Geneseo,"['Zoneschio', 'Zonesschio']",Livingston County,New York,,,,
Genessie River,['Chenessie'],,New York,,,near Rochester,H
Geneva,[],Ontario County,New York,,,,
Georgetown,[],,,,,District of Columbia,
Georgetown,[],Beaver County,Pennsylvania,,,,
Georgetown Road,[],,,,,,
Georgia,[],,Georgia,,,,
Germantown,[],,Pennsylvania,,,,
Germantown,[],Montgomery County,,,,Pennsylvania,
Germany,[],,,Germany,,,
Getgatain,[],,,,,,
Gigeijunk,['Maumee'],,Indiana,,,Fort Wayne | town at the Forks of Miami River,
Gigeyjunk,[],,Indiana,,,Fort Wayne,
Gigeyunk,['Fort Wayne'],,,,,,
Gigeyunk Fort Wayne,['Kikeyunk'],,Indiana,,,,
Ginhanschicanunk,[],,,,,,
Glade Country,[],,Pennsylvania,,,,
Glades Road,[],,Pennsylvania,,,,
Glass House,['?'],,,,,Highlands New York,
Gnadenfroi,[],,,Germany,,,
Gnadenhuegel,[],,,,,part of Gnadenhutten settlement,
Gnadenhutten,['White settlement'],Tuscarawas County,Ohio,,,,
Gnadenhutten,['Old Gnadenhutten'],,Pennsylvania,,,Mahony & Lehigh River | on Mahony Creek,
Gnadenhutten,['M.'],,Ohio,,,on Muskingum River,
Gnadenhutten,[],,Michigan,,,River | or Clinton | on Huron,
Gnadensee,[],,Connecticut,,,County | Litchfield | Wechquatnach Lake | Indian Pond,
Gnadenth also,[],,,,,,
Gnadenthal,[],,Pennsylvania,,,near Nazareth & Nazareth | modern Gracedale,
Gnadenwinkel,[],,,,,on Gnadenhutten tract,
