person,years,factoid_lons,factoid_lats
"Kluge, John Peter.","['1806', '1802', '1803', '1801', '1801', '1801', '1801', '1801', '1800', '1800', '1806', '1800', '1800']","['-74.32432', '-74.32432', '-74.32432', '-74.32432', '-81.43428', '-74.32432', '-81.43428', '-81.43428', '-74.32432', '-81.43428', '-78.73031', '-81.43428', '-74.32432']","['41.40204', '41.40204', '41.40204', '41.40204', '40.3584', '41.40204', '40.3584', '40.3584', '41.40204', '40.3584', '40.86173', '40.3584', '41.40204']"
Kluge.,"['1805', '1806', '1801', '1802', '1806', '1804', '1801', '1806']","['-74.32432', '-75.92687', '-75.92687', '-85.5419', '-84.51439', '-87.74253', '-85.12886', '-82.01319']","['41.40204', '40.33565', '40.33565', '38.45812', '39.12711', '38.41421', '41.1306', '39.94035']"
"Knauss, Jacob.",['1802'],['-74.32432'],['41.40204']
"Knauss, John; North Carolina.",['1801'],['-74.32432'],['41.40204']
"Knauss, Ludwig, blacksmith.","['1799', '1799', '1800']","['-74.32432', '-81.43428', '-81.43428']","['41.40204', '40.3584', '40.3584']"
"Knauss, Ludwig.","['1801', '1800', '1812']","['-74.32432', '-74.32432', '-74.32432']","['41.40204', '41.40204', '41.40204']"
"Kneisley, Abraham.","['1803', '1805']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Koenigsdoerffer, Gottlob; Bethlehem.","['1754', '1754', '1753', '1753']","['-80.00032', '-81.43428', '-86.98636', '-86.98636']","['35.50069', '40.3584', '45.27262', '45.27262']"
"Kohn, Jacob; Bethlehem, Pa.",['1744'],['-78.73031'],['40.86173']
"Koller, Henry.",['1819'],['-74.2107'],['40.66399']
"Krause, Christina, m. n. Bohner, w. of Mattheous Krause.",['1752'],['-81.43428'],['40.3584']
"Krause, Matthaous.",['1754'],['-81.43428'],['40.3584']
"Krause, Matthaous; Nazareth.","['1752', '1752', '1749', '1749']","['-81.43428', '-75.99689', '-81.43428', '-78.73031']","['40.3584', '39.95483', '40.3584', '40.86173']"
"Krause, Samuel, Nazareth.",['1751'],['-81.43428'],['40.3584']
"Krause, Samuel.","['1752', '1752', '1753', '1753', '1754', '1754', '1753', '1751']","['-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-75.30962']","['40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.74038']"
"Kreiter, Regina; Lititz.",['1813'],['-74.32432'],['41.40204']
"Kremser, Andreas, Jr., s. of Andreas and Rosina (Oberdorff), Kremser.",['1753'],['-81.43428'],['40.3584']
"Kremser, Andreas.","['1753', '1753', '1753', '1753', '1753', '1753']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-75.61602']","['40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.73454']"
"Kremser, Andreas; Nazareth.","['1752', '1752']","['-81.43428', '-75.20434']","['40.3584', '40.68899']"
"Kremser, Matthaous; Bethlehem.","['1752', '1752']","['-81.43428', '-76.55885']","['40.3584', '40.78897']"
"Kuehnast, Christoph.","['1753', '1753', '1753', '1754', '1754', '1754', '1755']","['-81.43428', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-81.43428']","['40.3584', '40.86173', '40.86173', '40.3584', '40.86173', '40.3584', '40.3584']"
"Kuntz, Matthaous; Bethlehem.","['1749', '1749']","['-76.55885', '-78.73031']","['40.78897', '40.86173']"
"Kunz, David; Bethlehem.",['1754'],['-81.43428'],['40.3584']
"La Mot, captain, Frenchman.",['1791'],['-83.14986'],['42.04116']
"La Trobe, Christian Ignatius; London.",['1809'],['-74.32432'],['41.40204']
"Lanetot, French major.","['1780', '1780']","['-76.40302', '-76.40302']","['39.94677', '39.94677']"
"Lange, Gottlieb; Bethlehem.",['1754'],['-81.43428'],['40.3584']
"Lanius, William; Lititz.",['1813'],['-76.3069'],['40.15732']
Lanius; Yorktown.,['1791'],['-83.14986'],['42.04116']
"Larvill, Joseph, surveyor, s. William Larvill; Pittsburg.","['1809', '1802']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
Laufman.,['1799'],['-77.18887'],['40.20148']
"Lawatsch, Andreas Anton.","['1753', '1753', '1753', '1753', '1752', '1754', '1755', '1755', '1754', '1752', '1752']","['-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-75.30962', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584', '40.3584', '40.74038', '40.3584']"
"Lawatsch, Anna Maria, m. n. Demuth, w. Andreas Lawatsch.",['1752'],['-81.43428'],['40.3584']
"Lawatsch, Anna Maria.","['1754', '1754', '1753']","['-78.73031', '-81.43428', '-81.43428']","['40.86173', '40.3584', '40.3584']"
"Lawrence, Daniel, Presb. Minister.",['1751'],['-81.43428'],['40.3584']
Leacock (al. Lycock).,['1748'],['-81.43428'],['40.3584']
"Leeth, John.","['1788', '1787']","['-76.40302', '-76.40302']","['39.94677', '39.94677']"
"Leinbach, Frederick; Hope, N.J.",['1782'],['-81.43428'],['40.3584']
"Lembke, Franz Christian; Nazareth.",['1754'],['-81.43428'],['40.3584']
"Lesley, John.","['1753', '1755', '1755', '1750', '1750', '1748', '1749', '1749', '1750', '1754', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1755', '1755', '1754', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755']","['-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-76.55885', '-78.73031', '-78.73031', '-76.55885', '-76.55885', '-105.63666', '-78.73031', '-75.78382', '-78.73031', '-105.63666', '-81.43428', '-81.43428', '-105.63666']","['40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.78897', '40.86173', '40.86173', '40.78897', '40.78897', '41.47747', '40.86173', '40.1651', '40.86173', '41.47747', '40.3584', '40.3584', '41.47747']"
"Lesley, John; Bethlehem.",['1748'],['-78.73031'],['40.86173']
"Levering, Johann.",['1751'],['-81.43428'],['40.3584']
"Levering, Johann; Nazareth.",['1747'],['-81.43428'],['40.3584']
"Lieth (""Leath""), John.",['1801'],['-74.32432'],['41.40204']
"Lieth, John William (893), h. Elisabeth (""Leath"").",['1781'],['-83.12186'],['41.35033']
"Lighton, John; Salisbury, Conn.","['1754', '1755']","['-73.91264', '-78.73031']","['41.92676', '40.86173']"
"Lischer, John.","['1751', '1752', '1751', '1751', '1748', '1755', '1755', '1755', '1755', '1755', '1751', '1751', '1752', '1753', '1747', '1750', '1750', '1750', '1748', '1749', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748']","['-76.30551', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-80.00032', '-75.92687', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031']","['40.03788', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.3584', '35.50069', '40.33565', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173']"
"Lischer, John; Bethlehem.","['1747', '1747', '1747', '1747']","['-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584']"
"Lischy, Johann Jacob.",['1747'],['-78.73031'],['40.86173']
Lisette.,['1804'],['-74.2107'],['40.66399']
"Livingston, Robert, Junior.",['1746'],['-73.59901'],['41.92815']
"Lochter, captain; Dutchess Co., N.Y.",['1745'],['-73.59901'],['41.92815']
"Loesch, Georg.",['1755'],['-76.55885'],['40.78897']
"Loesch, George; North Carolina.",['1805'],['-74.32432'],['41.40204']
"Loesch, Hermann.","['1752', '1753', '1753', '1753']","['-78.73031', '-78.73031', '-74.56316', '-74.56316']","['40.86173', '40.86173', '39.71334', '39.71334']"
"Loesch, Hermann; Bethlehem.","['1748', '1752']","['-78.73031', '-75.99689']","['40.86173', '39.95483']"
"Loesch, John; Salem, N.C.",['1803'],['-74.32432'],['41.40204']
"Loescher, Jacob; Bethlehem.","['1747', '1753']","['-78.73031', '-81.43428']","['40.86173', '40.3584']"
"Loretz, Johannes.","['1800', '1810']","['-74.32432', '-75.61602']","['41.40204', '40.73454']"
Lorrell.,['1743'],['-73.59901'],['41.92815']
Lorton.,['1743'],['-73.59901'],['41.92815']
"Loskiel, Georg Heinrich, bishop.","['1803', '1803', '1803', '1803', '1803', '1805', '1802', '1803', '1803', '1803', '1803', '1803', '1803', '1803', '1803']","['-81.43428', '-53.21478', '-76.40302', '-53.21478', '-78.73031', '-74.32432', '-89.12368', '-74.32432', '-74.32432', '-73.26373', '-74.32432', '-74.32432', '-78.73031', '-76.40302', '-74.32432']","['40.3584', '47.49989', '39.94677', '47.49989', '40.86173', '41.40204', '37.13838', '41.40204', '41.40204', '41.14121', '41.40204', '41.40204', '40.86173', '39.94677', '41.40204']"
"Loskiel, Georg Heinrich.",['1803'],['-87.74253'],['38.41421']
Loskiel.,"['1803', '1803']","['-73.26373', '-73.26373']","['41.14121', '41.14121']"
"Luckenbach, Abraham, missionary.","['1809', '1809', '1809', '1809', '1800', '1800', '1800']","['-73.26373', '-73.26373', '-83.04575', '-73.26373', '-74.32432', '-81.43428', '-53.21478']","['41.14121', '41.14121', '42.33143', '41.14121', '41.40204', '40.3584', '47.49989']"
"Luckenbach, Abraham.","['1814', '1814', '1811', '1808', '1808', '1808', '1814', '1808', '1809', '1809', '1809', '1809', '1807', '1806', '1807', '1807', '1809', '1808', '1808', '1810', '1810', '1812', '1812', '1813', '1807', '1808', '1812', '1813', '1806', '1813', '1801', '1802', '1801', '1801', '1807']","['-81.43428', '-86.52774', '-82.70796', '-88.03679', '-85.12886', '-74.32432', '-81.43428', '-74.32432', '-73.26373', '-81.43428', '-74.32432', '-82.54906', '-81.43428', '-78.73031', '-81.43428', '-74.32432', '-82.54906', '-74.32432', '-88.03679', '-82.70796', '-81.44094', '-74.32432', '-81.43428', '-81.44567', '-75.30962', '-85.12886', '-81.44567', '-81.43428', '-74.32432', '-81.43428', '-74.32432', '-74.32432', '-81.43428', '-53.21478', '-81.43428']","['40.3584', '31.24073', '41.44894', '46.90992', '41.1306', '41.40204', '40.3584', '41.40204', '41.14121', '40.3584', '41.40204', '41.3981', '40.3584', '40.86173', '40.3584', '41.40204', '41.3981', '41.40204', '46.90992', '41.44894', '42.82132', '41.40204', '40.3584', '40.48979', '40.74038', '41.1306', '40.48979', '40.3584', '41.40204', '40.3584', '41.40204', '41.40204', '40.3584', '47.49989', '40.3584']"
"Luckenbach, Belinda Amalia, d. Abraham and Rosina (Heckedorn), Luckenbach.",['1819'],['-74.32432'],['41.40204']
"Luckenbach, Carolina Louisa, d. Abraham and Rosina (Heckedorn), Luckenbach.",['1814'],['-74.32432'],['41.40204']
"Luckenbach, Lucia Anna, d. Abraham and Rosina (Heckedorn), Luckenbach.",['1816'],['-74.32432'],['41.40204']
"Luckenbach, Rosina.",['1817'],['-81.43428'],['40.3584']
Luckenbach.,"['1803', '1803', '1803', '1803', '1803', '1803', '1802', '1804', '1815', '1818', '1817', '1818', '1818', '1818', '1820', '1820', '1806', '1819', '1820', '1820', '1818', '1818', '1818', '1818', '1818', '1819', '1820', '1820', '1820', '1820', '1820', '1820', '1821', '1806', '1806', '1801', '1806', '1806', '1815', '1815', '1815', '1817', '1817', '1806', '1806', '1806', '1815', '1815', '1815', '1816', '1816', '1817', '1817', '1804', '1819', '1819', '1804', '1804', '1804', '1804', '1804', '1805', '1805', '1805', '1805']","['-84.51439', '-84.51439', '-84.51439', '-84.51439', '-84.51439', '-84.51439', '-84.51439', '-84.51439', '-81.43428', '-81.5654', '-81.44567', '-81.31925', '-81.44567', '-81.5654', '-81.5654', '-81.5654', '-84.51439', '-81.5654', '-81.43428', '-81.5654', '-81.5654', '-81.43428', '-81.5654', '-81.5654', '-81.5654', '-81.5654', '-88.26673', '-81.5654', '-81.43428', '-74.32432', '-74.32432', '-84.97246', '-74.32432', '-74.0332', '-84.51439', '-84.51439', '-84.51439', '-84.51439', '-81.44567', '-81.43428', '-81.44567', '-81.43428', '-81.43428', '-75.92687', '-75.92687', '-84.51439', '-81.43428', '-81.43734', '-81.43428', '-81.43428', '-81.43428', '-81.44567', '-81.43428', '-84.51439', '-84.97246', '-81.5654', '-84.51439', '-84.51439', '-75.92687', '-84.51439', '-84.51439', '-84.51439', '-74.32432', '-84.51439', '-84.51439']","['39.12711', '39.12711', '39.12711', '39.12711', '39.12711', '39.12711', '39.12711', '39.12711', '40.3584', '39.73618', '40.48979', '35.03791', '40.48979', '39.73618', '39.73618', '39.73618', '39.12711', '39.73618', '40.3584', '39.73618', '39.73618', '40.3584', '39.73618', '39.73618', '39.73618', '39.73618', '48.96681', '39.73618', '40.3584', '41.40204', '41.40204', '39.50699', '41.40204', '40.61872', '39.12711', '39.12711', '39.12711', '39.12711', '40.48979', '40.3584', '40.48979', '40.3584', '40.3584', '40.33565', '40.33565', '39.12711', '40.3584', '40.65784', '40.3584', '40.3584', '40.3584', '40.48979', '40.3584', '39.12711', '39.50699', '39.73618', '39.12711', '39.12711', '40.33565', '39.12711', '39.12711', '39.12711', '41.40204', '39.12711', '39.12711']"
"Lueck, Martin; Bethlehem.",['1754'],['-81.43428'],['40.3584']
"Lumm, Matthew; Morristown, N.J.",['1748'],['-81.43428'],['40.3584']
"Mack, Anna Benigna, d. Martin and Jannetje (""Anna""), Mack.",['1747'],['-78.73031'],['40.86173']
"Mack, Anna Elizabeth, d. of Martin and Anna Marg. Cath. (Rebstock), Mack.",['1754'],['-81.43428'],['40.3584']
"Mack, Anna Margaretha Catharina, m. n. Rebstock, 2nd w. of Martin Mack.","['1753', '1753']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Mack, Anna Margaretha.","['1754', '1754', '1758', '1754', '1753', '1758', '1753', '1753', '1753']","['-78.73031', '-81.43428', '-75.30962', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.3584', '40.74038', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173']"
"Mack, Anna.","['1761', '1761']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Mack, Georg.","['1748', '1747']","['-81.43428', '-75.19465']","['40.3584', '39.88525']"
"Mack, Gottlob, s. of Martin Mack and Jannetje (al. Anna), m. n. Rau.",['1749'],['-78.73031'],['40.86173']
"Mack, Jannetje.","['1743', '1752', '1751', '1749', '1749', '1744', '1745', '1749', '1748', '1749']","['-105.40102', '-105.63666', '-73.40845', '-78.73031', '-78.73031', '-78.73031', '-73.59901', '-78.73031', '-81.43428', '-78.73031']","['53.05006', '41.47747', '41.57704', '40.86173', '40.86173', '40.86173', '41.92815', '40.86173', '40.3584', '40.86173']"
"Mack, Johann Martin.",['1742'],['-73.59901'],['41.92815']
"Mack, Martin, Moravian missionary.",['1777'],['-81.43428'],['40.3584']
"Mack, Martin.","['1755', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1755', '1755', '1743', '1754', '1754', '1745', '1755', '1754', '1751', '1751', '1751', '1751', '1754', '1754', '1754', '1750', '1750', '1744', '1755', '1752', '1755', '1755', '1755', '1755', '1753', '1753', '1754', '1745', '1754', '1754', '1748', '1745', '1745', '1751', '1751', '1751', '1753', '1753', '1751', '1751', '1753', '1753', '1753', '1753', '1753', '1753', '1742', '1743', '1745', '1745', '1752', '1743', '1743', '1743', '1752', '1751', '1751', '1745', '1754', '1754', '1754', '1751', '1745', '1750', '1750', '1754', '1754', '1761', '1761', '1750', '1755', '1751', '1748', '1743', '1743', '1743', '1761', '1761', '1743', '1750', '1752', '1752', '1750', '1752', '1750', '1743', '1743', '1743', '1743', '1743', '1743', '1744', '1750', '1749', '1749', '1765', '1764', '1743', '1744', '1762', '1749', '1749', '1744', '1752', '1752', '1752', '1751', '1751', '1751', '1747', '1750', '1749', '1749', '1749', '1749', '1749', '1749', '1749', '1752', '1752', '1749', '1747', '1747', '1753', '1753', '1748', '1748', '1754', '1752', '1748', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1747', '1748', '1748', '1748', '1748', '1748', '1748', '1747', '1747', '1747', '1745', '1745', '1745', '1747', '1747', '1747', '1747', '1747', '1746', '1753', '1747', '1750', '1753', '1752', '1752', '1752', '1749', '1749', '1749', '1745', '1750', '1752', '1752', '1750', '1750', '1750', '1750', '1750', '1753', '1750']","['-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-76.55885', '-76.55885', '-78.73031', '-78.73031', '-73.75623', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-52.77995', '-105.63666', '-105.63666', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-73.74286', '-75.30962', '-78.73031', '-76.00492', '-76.55885', '-76.55885', '-78.73031', '-78.73031', '-86.98636', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-76.30551', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-76.55885', '-73.91264', '-73.59901', '-73.59901', '-78.73031', '-73.59901', '-105.40102', '-105.40102', '-78.73031', '-78.73031', '-78.73031', '-105.63666', '-105.63666', '-78.73031', '-105.63666', '-75.20434', '-73.96514', '-78.73031', '-73.59901', '-78.73031', '-78.73031', '-78.73031', '-73.40845', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-73.40845', '-73.59901', '-72.66648', '-78.73031', '-73.32039', '-73.59901', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-105.40102', '-105.40102', '-73.59901', '-105.40102', '-73.59901', '-105.40102', '-73.92097', '-105.63666', '-78.73031', '-78.73031', '-81.43428', '-73.59901', '-73.59901', '-105.40102', '-78.73031', '-78.73031', '-78.73031', '-73.59901', '-78.73031', '-76.00492', '-78.73031', '-78.73031', '-78.73031', '-105.63666', '-73.59901', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-76.55885', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-76.55885', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-73.91264', '-76.55885', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-73.59901', '-81.43428', '-76.55885', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-76.55885', '-81.43428', '-73.59901', '-76.55885', '-78.73031', '-73.59901', '-78.73031', '-73.59901', '-73.59901', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-75.52935', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-105.63666', '-78.73031', '-78.73031', '-78.73031', '-73.59901', '-78.73031', '-81.43428', '-105.63666', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-75.52935', '-73.91264', '-78.73031']","['40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584', '40.78897', '40.78897', '40.86173', '40.86173', '42.65258', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '47.23879', '41.47747', '41.47747', '40.86173', '40.86173', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '41.76515', '40.74038', '40.86173', '41.20536', '40.78897', '40.78897', '40.86173', '40.86173', '45.27262', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.03788', '40.86173', '40.3584', '40.86173', '40.86173', '40.78897', '41.92676', '41.92815', '41.92815', '40.86173', '41.92815', '53.05006', '53.05006', '40.86173', '40.86173', '40.86173', '41.47747', '41.47747', '40.86173', '41.47747', '40.68899', '41.82787', '40.86173', '41.92815', '40.86173', '40.86173', '40.86173', '41.57704', '40.86173', '40.86173', '40.86173', '40.3584', '41.57704', '41.92815', '41.66704', '40.86173', '42.28759', '41.92815', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '53.05006', '53.05006', '41.92815', '53.05006', '41.92815', '53.05006', '41.70037', '41.47747', '40.86173', '40.86173', '40.3584', '41.92815', '41.92815', '53.05006', '40.86173', '40.86173', '40.86173', '41.92815', '40.86173', '41.20536', '40.86173', '40.86173', '40.86173', '41.47747', '41.92815', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.78897', '40.86173', '40.86173', '40.86173', '40.3584', '40.78897', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '40.86173', '41.92676', '40.78897', '40.86173', '40.3584', '40.86173', '40.86173', '41.92815', '40.3584', '40.78897', '40.3584', '40.86173', '40.86173', '40.86173', '40.78897', '40.3584', '41.92815', '40.78897', '40.86173', '41.92815', '40.86173', '41.92815', '41.92815', '40.3584', '40.3584', '40.3584', '40.86173', '40.30288', '40.86173', '40.86173', '40.86173', '40.86173', '41.47747', '40.86173', '40.86173', '40.86173', '41.92815', '40.86173', '40.3584', '41.47747', '40.86173', '40.3584', '40.86173', '40.86173', '40.30288', '41.92676', '40.86173']"
