place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county
Kaschkaschkung,['Kaschkaschkunk'],,,,,,,
Kaschkaskung,[],,,,,,,
Kaskaskunk,[],,,,,,,
Kaskaskunk,"['Kaskaskung', 'Kaschkaskung', 'Kaschkaschkunk']",073,PA,,,Munsee Town on Beaver River,,
Kaskaskunk Lawrence County,"['Kaskaskung', 'Caskaskung', 'Coschcaskung on Beaver River']",,PA,,,,,
Kaunaumeek,"['Kenumeck', 'Cenemek']",021,NY,,,Nassau Township,,
Kaunschannek,['Kawunschhannek'],,,,,,,
Ke-kek-ton long timber,['Mohawk'],,,,,,,
Kekelemukpechunk,[],,,,,,,
Kent,[],005,CT,,,,,
Kentucky,"['Kentuk', 'Kentuke']",,KY,,,,,
Killbuck Creek,[],075,OH,,,,H,
Kinderhook,[],021,NY,,,,,
King's Bridge,[],,,,,New YorkC | Harlem River,,
King's Island,['Grosse Ile'],,MI,,,,,
Kingston,"['Esopa', 'Sopus']",,08,,,N.Y,,
Kingston New York,['Esopus'],,,,,,,
Kinhanschican,[],,OH,,,Mingo Town in Ohio,,
Kitanesink,[],,,,,,,
Kitigan,[],,08,,,Chippewa town,,
Kitiganesink,['in the garden'],,,,,,,
Kittannuk,[],,PA,,,Kittanning,,
Kittatinny,"['al', 'Middle Mountain', 'Kittetani']",055,PA,,,,,
Kittatinny Hills,['Blue Mountains'],,PA,,,,T,
Koachachkunk,[],,,,,,,
Koenigsberg,[],097,PA,,,,,
Kondal,[],,OH,,,probably Tuscarawas County,,
Konigsfeld,[],,,DE,,,,
Ktukquiminschi,['Black Walnut'],,PA,,,Erie | town near Presqu'isle,,
Kui-lu-ta-men,['Delaware'],,,,,Place of surprise,,
Kuschkusching,[],,,,,,,
Labrador,[],,,,,Terra,,
Lac,['also Long Lake'],,NY,,,Poponming Pond Monroe County,,
Lackawanna River,[],,PA,,,,H,
Lahalawoaskute,[],,,,,Sipung Creek,,
Lake,['Poponoming'],,,,,,,
Lake Erie,"['Lake', 'Lack', 'Lac']",,,,,,,
Lake George,[],113,NY,,,,,
Lake Huron,[],,,,,,,
Lake Michigan,[],,,,,,,
Lake Ontario,['Dundas'],,,,,,,
Lake St. Clair,['Sinclair'],,,,,,,
Lake Superior,[],,,,,,,
Lakes Erie and Ontario,[],,,,,,,
Lancaster,[],,PA,,,Pennsylvania? | Massachusetts? & Moravian place,,
Lancaster,[],045,OH,,,,,
Lancaster County,[],071,PA,,,,,
Langundo-Utenunk,[],,,,,,,
Langundo-Utenunk,[],073,PA,,,Friedenstadt | Beaver River,,
Langundo-Utenunk Friedenstadt,['Langunto-Utenunk'],,,,,,,
Languntouteney,[],,,,,,,
Laramie Creek,[],149,OH,,,,H,
